profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,grace,snatch,fran,maxpull-ups,fightgonebad,filthy50,helen,run5k,chad1000x,sprint400m,l1benchmark,murph,run400m
https://games.crossfit.com/athlete/1998420,Jordan Wilson,Australia,Men,220,170,250,1:54,,,,,,,,,,,,
https://games.crossfit.com/athlete/937356,Jeremy Morgenbesser,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/890891,Niko Laakkonen,Finland,Men (35-39),180,130,200,,100,,,,,,,,,,,
https://games.crossfit.com/athlete/1956709,Marlo Prinsloo,South Africa,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/908556,Jack Turner,United Kingdom,Men,215,150,250,,130,2:02,,,,,,,,,,
https://games.crossfit.com/athlete/508647,Ivan Verdun,Argentina,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2054602,Cameron Hutchins,Australia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/697475,John Wood,United States,Men,475,385,575,,300,,70,,,,,,,,,
https://games.crossfit.com/athlete/86677,Will Kane,United Kingdom,Men (35-39),,148,,1:26,115,1:59,,411,17:17,7:57,17:32,,,,,
https://games.crossfit.com/athlete/443273,Dorian Memko,Italy,Men (35-39),170,135,200,2:00,105,2:28,70,,,,19:40,,,,,
https://games.crossfit.com/athlete/2139572,Edoardo Lazzari,Italy,Men,175,125,222,,,,,,,,,64:02,,,,
https://games.crossfit.com/athlete/1648337,Eric Pedrosa,Spain,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2429227,Luciano Busacca,Argentina,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2164108,Tardif Thomas,France,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/422010,Terry Kang,"Korea, Republic of",Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2434773,Anthony Ruegg,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/896059,Yu-sen Zhu,Chinese Taipei,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1612464,Samuel Woodhead,United Kingdom,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/89671,Jaime Bigornia,Philippines,Men,462,330,505,,235,1:57,,,,,,,1:12,,,
https://games.crossfit.com/athlete/1022412,Kyle Moline,United States,Men,415,315,485,1:59,245,,30,344,,9:04,20:19,,,3:33,,
https://games.crossfit.com/athlete/1351563,Federico Marra,Italy,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2564505,Hiko o Te Rangi Curtis,New Zealand,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/539702,Mauricio Lamprea,Colombia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2232892,Jacob Mason,United States,Men,500,366,530,,295,2:13,,,,,25:20,,,,,
https://games.crossfit.com/athlete/817269,Sam True,United States,Men,465,370,515,,270,2:08,63,400,,,22:00,,0:59,,,
https://games.crossfit.com/athlete/144996,Hudson Fricke,United States,Men (35-39),375,305,,1:16,290,2:16,,,,,,,,,,
https://games.crossfit.com/athlete/1992053,River Moore,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/180541,Alex Vigneault,Canada,Men,465,360,615,1:11,300,2:14,72,457,14:54,7:12,18:55,,0:54,,,
https://games.crossfit.com/athlete/1495051,João Santos,Portugal,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2712181,Tatu Eeronheimo,Finland,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2614911,Chris Chambers,United States,Men,485,317,500,,255,,,,,,,,,,,
https://games.crossfit.com/athlete/243679,Raphael Durand,United States,Men,455,325,550,1:34,265,2:16,,,,8:02,20:31,,,,,
https://games.crossfit.com/athlete/2285880,Alexis Romero,France,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/694375,Taylor Nagel,United States,Men (35-39),405,315,520,1:45,225,2:31,60,383,,6:47,22:00,,,,,
https://games.crossfit.com/athlete/130921,Dalton Mankin,United States,Men,465,355,487,2:22,280,1:54,50,,,,23:00,,,,,
https://games.crossfit.com/athlete/1483312,Rankin Holt,United States,Men,430,315,450,,275,2:35,,,,,22:15,,,,,
https://games.crossfit.com/athlete/388257,Chris Paye,United States,Men,455,331,505,1:33,270,1:55,58,444,21:22,7:28,21:23,,1:09,,,
https://games.crossfit.com/athlete/1622276,Nicky Rodgers,United States,Men,14,71,135,123:00,62,69:00,1,12,99:10,500:00,500:00,99:59,5:12,500:00,,
https://games.crossfit.com/athlete/86878,Christopher Anderson,United States,Men (45-49),365,265,415,,215,2:26,75,,,,,,,,,
https://games.crossfit.com/athlete/461734,Michael Smith,Ireland,Men,190,155,240,1:21,123,2:11,71,,,,,,,,,
https://games.crossfit.com/athlete/422268,Connor McDonald,United States,Men,415,325,510,1:21,265,2:17,74,469,19:44,6:34,19:31,,,,,
https://games.crossfit.com/athlete/926982,Vincent Richard,Canada,Men,425,325,475,,260,2:04,,,,,24:00,,,,,
https://games.crossfit.com/athlete/754184,Christian Laws,United States,Men,410,315,440,,240,,,,,,,,,,,
https://games.crossfit.com/athlete/1495276,Vitor Loffi Wawrzeniak,Brazil,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/504191,Trent Volentine,United States,Men,440,340,525,1:27,245,2:06,75,,,,19:45,,0:51,,,
https://games.crossfit.com/athlete/2073996,Robert Wolfington,United States,Men,417,295,500,1:55,225,2:43,55,,,7:16,,,1:11,,37:15,
https://games.crossfit.com/athlete/851209,Marek Vacha,Czech Republic,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/287886,Stuart Stark,United States,Men (35-39),390,320,480,1:53,233,2:26,50,408,,7:44,20:49,,1:07,,,
https://games.crossfit.com/athlete/74320,Samuel Kwant,United States,Men,460,345,530,1:47,285,2:04,74,,,,18:05,,,,,
https://games.crossfit.com/athlete/633140,Martin Fuentes,Chile,Men,150,110,200,,75,,,,,,21:00,,,,,
