name,profile_url,country,gender,backsquat,cleanandjerk,deadlift,snatch,fightgonebad,fran,grace,maxpull-ups,filthy50,helen,run5k,sprint400m,chad1000x
Colten Mertens,https://games.crossfit.com/athlete/676693,United States,Men,555,335,545,275,,,,,,,,,
Dallin Pepper,https://games.crossfit.com/athlete/671093,United States,Men,475,360,550,300,403,127.0,118.0,50,,,,,
Jeffrey Adler,https://games.crossfit.com/athlete/469656,Canada,Men,475,377,567,290,511,122.0,76.0,54,917.0,438.0,1155.0,59.0,
Austin Hatfield,https://games.crossfit.com/athlete/947291,United States,Men,535,375,540,305,430,110.0,67.0,82,,,1072.0,48.0,
Cale Layman,https://games.crossfit.com/athlete/1959188,United States,Men,,,,,,,,,,,,,
Jayson Hopper,https://games.crossfit.com/athlete/1020449,United States,Men,500,365,585,305,,135.0,120.0,,,,1110.0,52.0,
Jay Crouch,https://games.crossfit.com/athlete/156156,Australia,Men,,,,,,,,,,,,,
Ricky Garard,https://games.crossfit.com/athlete/40955,Australia,Men,205,165,240,135,490,125.0,70.0,75,890.0,405.0,1052.0,54.0,
Uldis Upenieks,https://games.crossfit.com/athlete/472642,Latvia,Men,207,152,250,125,,,,,,,,,
Nico Bedon,https://games.crossfit.com/athlete/2202239,Ecuador,Men,,,,,,,,,,,,,
Justin Medeiros,https://games.crossfit.com/athlete/811708,United States,Men,,,,,,,,,,,,,
Colin Bosshard,https://games.crossfit.com/athlete/2137458,Switzerland,Men,,,,,,,,,,,,,
Andrei Fedotov,https://games.crossfit.com/athlete/831559,N/A,Men,205,155,240,125,,,,,,,,,
Roldan Goldbaum,https://games.crossfit.com/athlete/1031875,Mexico,Men,445,350,515,280,,130.0,67.0,,,,1080.0,56.0,
Roman Khrennikov,https://games.crossfit.com/athlete/975774,United States,Men,215,370,260,280,,120.0,70.0,75,,,,,
Miko Lilleorg,https://games.crossfit.com/athlete/2258721,Estonia,Men,205,155,240,130,,,,,,,,,
Nika Maisuradze,https://games.crossfit.com/athlete/2225448,Georgia,Men,,,,,,,,,,,,,
James Sprague,https://games.crossfit.com/athlete/900251,United States,Men,465,355,550,285,520,130.0,65.0,72,1050.0,422.0,1080.0,59.0,2630.0
Samuel Cournoyer,https://games.crossfit.com/athlete/327636,Canada,Men,435,370,530,305,,125.0,90.0,,,,,,
Ben Fowler,https://games.crossfit.com/athlete/1285760,New Zealand,Men,,,,,,,,,,,,,
